wbrs_description,score,threat_mnemonic,threat_description
Hacking,10,NULL,NULL
Hate Speech,10,NULL,NULL
Health and Nutrition,10,NULL,NULL
Hunting,10,NULL,NULL
Illegal Activities,10,mals,Malware Sites
Illegal Downloads,10,NULL,NULL
Photo Search and Images,10,NULL,NULL
Infrastructure and Content Delivery Networks,10,NULL,NULL
Job Search,10,NULL,NULL
Safe for Kids,10,NULL,NULL
Lingerie and Swimsuits,10,NULL,NULL
Humor,10,NULL,NULL
Lotteries,10,NULL,NULL
Web-based Email,10,NULL,NULL
Adult,10,NULL,NULL
Advertisements,10,NULL,NULL
Alcohol,10,NULL,NULL
Arts,10,NULL,NULL
Astrology,10,NULL,NULL
Auctions,10,NULL,NULL
Streaming Audio,10,NULL,NULL
Business and Industry,10,NULL,NULL
Digital Postcards,10,NULL,NULL
Mobile Phones,10,NULL,NULL
Chat and Instant Messaging,10,NULL,NULL
Online Communities,10,NULL,NULL
Computers and Internet,10,NULL,NULL
Child Abuse Content,10,NULL,NULL
Computer Security,10,NULL,NULL
Dating,10,NULL,NULL
DIY Projects,10,NULL,NULL
Illegal Drugs,10,NULL,NULL
Dynamic and Residential,10,NULL,NULL
Education,10,NULL,NULL
Entertainment,10,NULL,NULL
Extreme,10,NULL,NULL
Fashion,10,NULL,NULL
Filter Avoidance,10,NULL,NULL
Finance,10,NULL,NULL
Dining and Drinking,10,NULL,NULL
Freeware and Shareware,10,NULL,NULL
File Transfer Services,10,NULL,NULL
Gambling,10,NULL,NULL
Games,10,NULL,NULL
Government and Law,10,NULL,NULL
Hacking,10,NULL,NULL
Hate Speech,10,NULL,NULL
Health and Nutrition,10,NULL,NULL
Hunting,10,NULL,NULL
Illegal Activities,10,mals,Malware Sites
Illegal Downloads,10,NULL,NULL
Photo Search and Images,10,NULL,NULL
Infrastructure and Content Delivery Networks,10,NULL,NULL
Job Search,10,NULL,NULL
Safe for Kids,10,NULL,NULL
Lingerie and Swimsuits,10,NULL,NULL
Humor,10,NULL,NULL
Lotteries,10,NULL,NULL
Web-based Email,10,NULL,NULL
Online Meetings,10,NULL,NULL
Military,10,NULL,NULL
Not Actionable,10,NULL,NULL
Nature,10,NULL,NULL
News,10,NULL,NULL
Non-governmental Organizations,10,NULL,NULL
Non-sexual Nudity,10,NULL,NULL
Online Storage and Backup,10,NULL,NULL
Peer File Transfer,10,NULL,NULL
Parked Domains,10,NULL,NULL
Organizational Email,10,NULL,NULL
Personal Sites,10,NULL,NULL
Cheating and Plagiarism,10,NULL,NULL
Professional Networking,10,NULL,NULL
Politics,10,NULL,NULL
Pornography,10,NULL,NULL
Paranormal,10,NULL,NULL
Personal VPN,10,NULL,NULL
Reference,10,NULL,NULL
Religion,10,NULL,NULL
Real Estate,10,NULL,NULL
SaaS and B2B,10,NULL,NULL
Science and Technology,10,NULL,NULL
Society and Culture,10,NULL,NULL
Shopping,10,NULL,NULL
Social Networking,10,NULL,NULL
Social Science,10,NULL,NULL
Sports and Recreation,10,NULL,NULL
Search Engines and Portals,10,NULL,NULL
Software Updates,10,NULL,NULL
Sex Education,10,NULL,NULL
Tobacco,10,NULL,NULL
Online Trading,10,NULL,NULL
Web Page Translation,10,NULL,NULL
Transportation,10,NULL,NULL
Travel,10,NULL,NULL
Streaming Video,10,NULL,NULL
Internet Telephony,10,NULL,NULL
Weapons,10,NULL,NULL
Web Hosting,10,NULL,NULL
Online Meetings,10,NULL,NULL
Military,10,NULL,NULL
Not Actionable,10,NULL,NULL
Nature,10,NULL,NULL
News,10,NULL,NULL
Non-governmental Organizations,10,NULL,NULL
Non-sexual Nudity,10,NULL,NULL
Online Storage and Backup,10,NULL,NULL
Peer File Transfer,10,NULL,NULL
Parked Domains,10,NULL,NULL
Organizational Email,10,NULL,NULL
Personal Sites,10,NULL,NULL
Cheating and Plagiarism,10,NULL,NULL
Professional Networking,10,NULL,NULL
Politics,10,NULL,NULL
Pornography,10,NULL,NULL
Paranormal,10,NULL,NULL
Personal VPN,10,NULL,NULL
Reference,10,NULL,NULL
Religion,10,NULL,NULL
Real Estate,10,NULL,NULL
SaaS and B2B,10,NULL,NULL
Science and Technology,10,NULL,NULL
Society and Culture,10,NULL,NULL
Shopping,10,NULL,NULL
Social Networking,10,NULL,NULL
Social Science,10,NULL,NULL
Sports and Recreation,10,NULL,NULL
Search Engines and Portals,10,NULL,NULL
Software Updates,10,NULL,NULL
Sex Education,10,NULL,NULL
Tobacco,10,NULL,NULL
Online Trading,10,NULL,NULL
Web Page Translation,10,NULL,NULL
Transportation,10,NULL,NULL
Travel,10,NULL,NULL
Streaming Video,10,NULL,NULL
Internet Telephony,10,NULL,NULL
Weapons,10,NULL,NULL
Web Hosting,10,NULL,NULL
Adult,10,NULL,NULL
Advertisements,10,NULL,NULL
Alcohol,10,NULL,NULL
Arts,10,NULL,NULL
Astrology,10,NULL,NULL
Auctions,10,NULL,NULL
Streaming Audio,10,NULL,NULL
Business and Industry,10,NULL,NULL
Digital Postcards,10,NULL,NULL
Mobile Phones,10,NULL,NULL
Chat and Instant Messaging,10,NULL,NULL
Online Communities,10,NULL,NULL
Computers and Internet,10,NULL,NULL
Child Abuse Content,10,NULL,NULL
Computer Security,10,NULL,NULL
Dating,10,NULL,NULL
DIY Projects,10,NULL,NULL
Illegal Drugs,10,NULL,NULL
Dynamic and Residential,10,NULL,NULL
Education,10,NULL,NULL
Entertainment,10,NULL,NULL
Extreme,10,NULL,NULL
Fashion,10,NULL,NULL
Filter Avoidance,10,NULL,NULL
Finance,10,NULL,NULL
Dining and Drinking,10,NULL,NULL
Freeware and Shareware,10,NULL,NULL
File Transfer Services,10,NULL,NULL
Gambling,10,NULL,NULL
Games,10,NULL,NULL
Government and Law,10,NULL,NULL
Hacking,10,NULL,NULL
Hate Speech,10,NULL,NULL
Health and Nutrition,10,NULL,NULL
Hunting,10,NULL,NULL
Illegal Activities,10,mals,Malware Sites
Illegal Downloads,10,NULL,NULL
Photo Search and Images,10,NULL,NULL
Infrastructure and Content Delivery Networks,10,NULL,NULL
Job Search,10,NULL,NULL
Safe for Kids,10,NULL,NULL
